category,id
Infectious Diseases & Outbreaks - Negative Sentiment,1500195
Infectious Diseases & Outbreaks,1500078
Protests & Demonstrations ,1500671
Protests & Demonstrations - Negative Emotions,1500672
Cyber Security,1500693
Natural Disasters,1500691
Corporate Culture & Labor Relations,1500690
Sensitive Social Issues,1500692
Japan Emperor,1500860
Politics,1500902
Politics - Negative Content,1500903
Discrimination Avoidance,1505819
Pollution,1506278
Pollution - Negative Sentiment,1506279
Thai Monarchy,1506447
Olympics,1506453
Pop Culture,1506436
Agriculture & Farming,1506621
Auto ,1500079
Baby Products ,1500080
Baby Proucts - Baby Care,1500096
Baby Products - Baby Food,1500097
Consumer Electronics ,1500081
Consumer Electronics - Gaming Consoles,1500098
"Consumer Electronics - Laptop, Desktop, PC",1500099
"Consumer Electronics - Smartphone, Tablet",1500100
"Consumer Electronics - TV, Smart TV",1500101
Consumer Electronics - Wearables,1500102
Consumer Electronics - Appliances,1500103
Energy,1506280
Energy - Nuclear Energy,1506282
Energy - Green Energy,1506283
Energy - Natural Gas,1506284
Energy - Oil,1506285
Energy - Coal,1506286
Energy - Electricity,1506287
Entertainment ,1500082
Entertainment - Music Events,1500104
Entertainment - Pay-per-view Services,1500105
Entertainment - Sports Events,1500106
Entertainment - Theatre Events,1500107
Fashion ,1500083
Fasion - Kid's Apparel,1500108
Fashion - Luxury,1500111
Fashion - Men's Fashion,1500109
Fashion - Women's Fashion,1500110
Finance ,1500084
"Finance - Bank Account, Business",1500113
"Finance - Bank Account, Family",1500114
Finance - Banking,1500112
Finance - Credit Cards ,1500115
Finance - Loans & Mortgages,1500116
Finance - Personal/Family Investing,1500117
Food and Beverage ,1500085
Food and Beverage - Beer,1500118
"Food and Beverage - Biscuits, Cereals",1500119
Food and Beverage - Gourmet,1500120
Food and Beverage - Healthy Food,1500121
Food and Beverage - Ready-to-eat Meals,1500122
Food and Beverage - Salty Snacks,1500123
Food and Beverage - Soft Drinks,1500124
Food and Beverage - Spirits,1500125
Food and Beverage - Sweet Snacks,1500126
Food and Beverage - Vegan/Vegetarian,1500127
Food and Beverage - Wine,1500128
Gambling ,1500086
Gambling - Online Betting,1500129
Gambling - Online Gambling,1500130
Games and Toys,1500087
Games and Toys - Children's Toys,1500131
"Games and Toys - Video Games, Online Games",1500132
House Care ,1500088
