Peer39 Category,Category ID
Arts and Entertainment,8377
Arts and Entertainment : Awards Shows,20786
Arts and Entertainment : Books and Literature,8381
Arts and Entertainment : Celebrities,8380
Arts and Entertainment : Celebrities : Royal Baby,4073
Arts and Entertainment : Comics and Animation,8270
Arts and Entertainment : DiningOut,8348
Arts and Entertainment : Movies and Videos,8347
Arts and Entertainment : Music,8379
Arts and Entertainment : Online Graphics & Themes,8391
Arts and Entertainment : Satirical News,450
Arts and Entertainment : Television,3492
Arts and Entertainment : VisualArts,8349
Automotive,8371
Automotive : Buying and Selling,8309
Automotive : Insurance,8432
Automotive : Maintenance,8374
Automotive : Manufacturers,8312
Automotive : Manufacturers : Acura,13275
Automotive : Manufacturers : Audi,13276
Automotive : Manufacturers : BMW,8280
Automotive : Manufacturers : Buick,15459
Automotive : Manufacturers : Cadillac,13277
Automotive : Manufacturers : Chrysler,10464
Automotive : Manufacturers : Dodge,8278
Automotive : Manufacturers : Ford,8276
Automotive : Manufacturers : GMC,15460
Automotive : Manufacturers : Honda,8427
Automotive : Manufacturers : Infiniti,13278
Automotive : Manufacturers : Jaguar,15461
Automotive : Manufacturers : Kia,15462
Automotive : Manufacturers : LandRover,13279
Automotive : Manufacturers : Lexus,13280
Automotive : Manufacturers : Lincoln,15463
Automotive : Manufacturers : Mazda,15464
Automotive : Manufacturers : Mercedes-Benz,8279
Automotive : Manufacturers : Mitsubishi,8429
Automotive : Manufacturers : Nissan,8426
Automotive : Manufacturers : Porsche,13281
Automotive : Manufacturers : Scion,15465
Automotive : Manufacturers : Smart,15466
Automotive : Manufacturers : Subaru,8281
Automotive : Manufacturers : Toyota,8277
Automotive : Manufacturers : Volkswagen,8428
Automotive : Manufacturers : Volvo,13282
Automotive : Vehicles,8372
Automotive : Vehicles : Electric,6843
Automotive : Vehicles : Hybrids,20008
Automotive : Vehicles : Luxury Cars,16516
Automotive : Vehicles : MinVans,10461
Automotive : Vehicles : Motorcycles,8373
Automotive : Vehicles : Passenger Cars,10462
Automotive : Vehicles : Sports Cars,10460
Automotive : Vehicles : SUVs,10463
Business,8342
Business : Agriculture,22036
Business : EconomicCrisis,12378
Business : Economics,8343
Business : SmallBusiness,8344
Careers,8376
Custom,8793
Custom : test11,9042
Custom : testrelease,9055
Custom : testtttt,8858
Education,8382
Education : College and University,8350
Environment,8383
Environment : Conservation,8351
Environment : Energy,8384
Environment : GlobalWarming,8352
Environment : GreenLiving,8385
Finance,8345
Finance : Credit and Loans,8411
Finance : Credit and Loans : Automotive,8282
Finance : Credit and Loans : Education,8288
Finance : Credit and Loans : Home,8291
Finance : Crypto Currency,9179
Finance : Insurance,18431
Finance : Insurance : Health Insurance,18432
Finance : Insurance : Life Insurance,19328
Finance : Investing,8406
Finance : Investing : ETFs,8425
Finance : Investing : Forex,8292
Finance : Investing : RetirementPlanning,8273
Finance : Investing : Stocks,8431
Finance : Taxes,8423
Food and Beverage,8390
Food and Beverage : AlcoholicDrinks,8317
Food and Beverage : Baking,8286
Food and Beverage : Cooking,8357
Food and Beverage : HealthyEating,8287
Food and Beverage : Recipes,9430
Food and Beverage : Vegetarian,12377
Fraud,27201
Fraud : Bot Sites_Non-Human traffic,18187
Fraud : Zero Ads,27202
Health,8293
Health : Alternative Medicine,11364
Health : Cannabis,42506
Health : Cannabis : B2B,42580
Health : Cannabis : B2C,42606
Health : Conditions and Diseases,8296
Health : Conditions and Diseases : Allergies,3493
Health : Conditions and Diseases : Cancer,3449
Health : Conditions and Diseases : Coronavirus,30857
Health : Conditions and Diseases : Heart Diseases,3494
Health : Dental,8358
Health : Diet and Fitness,8294
Health : Men,8271
Health : Mental,8359
Health : Optical,8295
Health : SexualHealth,8434
Health : Smoking,43764
Health : Smoking : Vape,43789
Health : Treatment,8360
Health : Women,8310
Home and Garden,8297
Home and Garden : Cleaning and Laundry,8361
Home and Garden : Decorating,8283
Home and Garden : Do It Yourself ,10636
Home and Garden : Home Theater,23665
Home and Garden : Lawn and Garden,8298
Home and Garden : Remodeling & Construction,23310
Interest,19909
Interest : Business Professionals,19987
Interest : Car Owners,19993
Interest : Foodies,19995
Interest : Gift Givers,19996
Interest : Health Conscious,19997
Interest : High-End Luxury Spenders,20000
Interest : Home Owners,20001
Interest : IT Professionals,20002
Interest : Job Seekers,20004
Interest : Men,20005
Interest : Music Lovers,20010
Interest : Parents,20006
Interest : Retirees,20015
Interest : Students,20029
Interest : Tech Enthusiasts,20066
Interest : Tourists,20078
Interest : Trending Topics,20080
Interest : Women,20085
Internet,8333
Internet : Apps and Toolbars,14821
Internet : Blind Inventory,14819
Internet : Comments,13417
Internet : Malicious Activity Sites,31243
Internet : ModeratedUGC,8418
Internet : Parked Domains ,17211
Internet : Redirected Pages,4717
Internet : UGC,8417
Internet : UGC : Forums,10359
Internet : UGC : SocialNetworks,10358
Internet : UGC : SocialNetworks : Facebook,17236
Internet : UGC : VideoPhotoSharing,10357
Internet : Webmail,10459
Internet : Webmail : PremiumWebmail,16898
Mobile Apps,26600
Mobile Apps : App Usage,5418
Mobile Apps : App Usage : High,5419
Mobile Apps : App Usage : Low,5421
Mobile Apps : App Usage : Medium,5420
Mobile Apps : Content Advisory Rating,26700
Mobile Apps : Content Advisory Rating : Everyone 4+,26702
Mobile Apps : Content Advisory Rating : High Maturity 18+,26703
Mobile Apps : Content Advisory Rating : Kids 18 and Under,5417
Mobile Apps : Content Advisory Rating : Low Maturity 9+,26704
Mobile Apps : Content Advisory Rating : Medium Maturity 12+,26705
Mobile Apps : Content Advisory Rating : Not Rated,26701
Mobile Apps : Fraudulent Apps,5422
Mobile Apps : Mobile App Categories,26706
Mobile Apps : Mobile App Categories : Books & Reference Apps,26707
Mobile Apps : Mobile App Categories : Business Apps,26708
Mobile Apps : Mobile App Categories : Catalog Apps,26709
Mobile Apps : Mobile App Categories : Comics Apps,26710
Mobile Apps : Mobile App Categories : Education Apps,26712
Mobile Apps : Mobile App Categories : Entertainment Apps,26713
Mobile Apps : Mobile App Categories : Finance Apps,26714
